Wijnsoort,Gerecht,Ingrediënten,Afkomst
Pinot Noir,Haring met ui,"haring, ui, augurk",Nederlands
Pinot Noir,Stroopwafels,"stroop, bloem, boter, suiker",Nederlands
Pinot Noir,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Pinot Noir,Appeltaart,"appels, kaneel, suiker, bloem, boter",Nederlands
Pinot Noir,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Pinot Noir,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Pinot Noir,Bitterballen,"rundvlees, boter, paneermeel, mosterd",Nederlands
Pinot Noir,Croquetas,"ham, melk, boter, paneermeel",Spaans
Pinot Noir,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Pinot Noir,Hutspot,"aardappelen, wortelen, uien, rookworst",Nederlands
Chardonnay,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Chardonnay,Tiramisu,"mascarpone, koffie, lange vingers, cacao",Italiaans
Chardonnay,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Chardonnay,Fabada Asturiana,"witte bonen, chorizo, morcilla",Spaans
Chardonnay,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Chardonnay,Poffertjes,"bloem, melk, gist, boter, poedersuiker",Nederlands
Chardonnay,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Chardonnay,Churros,"bloem, suiker, olie, kaneel",Spaans
Chardonnay,Spaghetti Carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Chardonnay,Salade Niçoise,"tonijn, ei, olijven, sperziebonen",Frans
Cabernet Sauvignon,Spaghetti Carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Cabernet Sauvignon,Hutspot,"aardappelen, wortelen, uien, rookworst",Nederlands
Cabernet Sauvignon,Waterzooi,"kip, room, wortelen, prei, aardappelen",Belgisch
Cabernet Sauvignon,Kibbeling,"witvis, bloem, bier, knoflooksaus",Nederlands
Cabernet Sauvignon,Pulpo a la Gallega,"octopus, paprika, olijfolie, aardappelen",Spaans
Cabernet Sauvignon,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Cabernet Sauvignon,Speculaas,"bloem, speculaaskruiden, suiker, boter",Nederlands
Cabernet Sauvignon,Erwtensoep,"spliterwten, rookworst, knolselderij, wortel",Nederlands
Cabernet Sauvignon,Focaccia,"bloem, olijfolie, rozemarijn, zout",Italiaans
Cabernet Sauvignon,Croquetas,"ham, melk, boter, paneermeel",Spaans
Red Blend,Churros,"bloem, suiker, olie, kaneel",Spaans
Red Blend,Sole meunière,"zeetong, boter, citroen, peterselie",Frans
Red Blend,Vol-au-vent,"kip, champignons, bladerdeeg, roomsaus",Belgisch
Red Blend,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Red Blend,Hutspot,"aardappelen, wortelen, uien, rookworst",Nederlands
