Afkomst,Gerecht,Ingrediënten,Wijnsoort,Smaakprofiel,Wijnstijl
Duitsland,Bratwurst mit Sauerkraut Bayerisch met citroen,"zuurkool, aardappel, worst",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Pulpo a la Gallega Andaluz uit de oven,"inktvis, paprika, aardappel",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Kartoffelsalat Klassisch met champignons,"ui, aardappel, azijn",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Coq au Vin de Lyon van de chef,"rode wijn, champignons, ui, kip, spekjes",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Bruschetta al Pomodoro alla Toscana met truffel,"tomaat, basilicum, stokbrood, olijfolie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Entrecôte au Poivre Provençale met saus,"room, peper, rundvlees",Syrah,"Krachtig, Kruidig, Stevig",Rood
Nederland,Kipspies met Paprika Hollands met verse basilicum,"paprika, kip, ui",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Insalata Caprese Tradizionale met olijven,"basilicum, olijfolie, tomaat, mozzarella",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Albondigas en Salsa Tradicional speciale editie,"gehaktballetjes, tomatensaus, ui",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Risotto ai Funghi del Mare met kruiden,"boter, paddenstoelen, rijst",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Sauerbraten vom Grill van de chef,"azijn, ui, rundvlees",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Bratwurst mit Sauerkraut vom Grill met champignons,"aardappel, worst, zuurkool",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Duitsland,Forelle Müllerin nach Oma’s Rezept met saus,"boter, citroen, forel",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Rinderroulade Rheinisch met olijven,"augurk, rundvlees, mosterd",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Bruschetta al Pomodoro alla Casa met olijven,"basilicum, olijfolie, stokbrood, tomaat",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Fritto Misto alla Toscana van de chef,"garnalen, citroen, inktvis, bloem",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Magret de Canard Traditionnel met truffel,"rode wijnsaus, eend, aardappelgratin",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Patatas Bravas Andaluz met roomsaus,"tomaat, paprika, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Bruschetta al Pomodoro Tradizionale van de chef,"basilicum, olijfolie, tomaat, stokbrood",Prosecco,"Fris, Mousserend, Licht",Mousserend
Spanje,Patatas Bravas Casera van de chef,"tomaat, aardappel, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Kipspies met Paprika met Kaas uit de oven,"paprika, kip, ui",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Haring met Ui van het Huis met citroen,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Coq au Vin Maison met champignons,"kip, rode wijn, champignons, ui",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Pasta all’Amatriciana alla Toscana met roomsaus,"peper, guanciale, ui, pecorino, tomaat",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Entrecôte au Poivre à la Crème met verse basilicum,"rundvlees, peper, room",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Coq au Vin Traditionnel met verse basilicum,"champignons, spekjes, ui, rode wijn",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Haring met Ui Ouderwets met champignons,"ui, haring",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Sauerbraten Bayerisch met truffel,"azijn, rundvlees, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Tortilla Española Tradicional met citroen,"aardappel, ei, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Kartoffelsalat Klassisch speciale editie,"aardappel, ui, azijn",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Poulet à la Crème Traditionnel met verse groenten,"kip, boter, room",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Insalata Caprese al Forno met truffel,"olijfolie, mozzarella, basilicum",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Haring met Ui met Spekjes met verse basilicum,"ui, haring",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Gazpacho Andaluz de la Casa speciale editie,"tomaat, olijfolie, komkommer, knoflook",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Boeuf Bourguignon à la Crème uit de oven,"tijm, ui, rundvlees",Pinot Noir,"Elegant, Droog, Licht",Rood
Duitsland,Rinderroulade Klassisch uit de oven,"rundvlees, augurk, mosterd",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Filet de Sole au Vin speciale editie,"vis, boter, citroen",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Zalm met Dillesaus Ambachtelijk met champignons,"citroen, zalm, dille",Rosé,"Licht, Fruitig, Fris",Rosé
Spanje,Chorizo al Vino del Mar met olijven,"chorizo, rode wijn, knoflook",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Quiche Lorraine au Vin met kruiden,"spek, kaas, room, eieren",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Tortilla Española Tradicional speciale editie,"aardappel, ui, ei",Garnacha,"Fruitig, Rond, Zacht",Rood
Frankrijk,Canard à l’Orange Maison met roomsaus,"honing, sinaasappel, eend",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Pulpo a la Gallega del Norte uit de oven,"inktvis, aardappel, paprika",Albariño,"Fris, Aromatisch, Zacht",Wit
