Wijnsoort,Gerecht,Ingrediënten,Afkomst
Pinot Grigio,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Chenin Blanc,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Gamay,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Bordeaux-style Red Blend,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Aglianico,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Chardonnay,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Garnacha,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Sangiovese,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Grenache,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Port,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Pinot Noir,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Garganega,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Cabernet Franc,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Gamay,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Sparkling Blend,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Glera,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Rhône-style White Blend,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Riesling,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Riesling,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Zinfandel,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Viognier,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Gewürztraminer,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Grüner Veltliner,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Chenin Blanc,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Verdejo,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Carmenère,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Grenache,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Moscato,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Carmenère,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Sauvignon,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Riesling,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Albariño,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Sparkling Blend,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Portuguese Red,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Portuguese White,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Sauvignon,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Grüner Veltliner,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Garganega,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Rhône-style Red Blend,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Melon,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Pinot Noir,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Melon,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Carmenère,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Malbec,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Viognier,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Albariño,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Sangiovese,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Sparkling Blend,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Rhône-style Red Blend,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Shiraz,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Viognier,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Riesling,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Nero d'Avola,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Pinot Blanc,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Port,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Rhône-style Red Blend,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Red Blend,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Red Blend,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Rhône-style Red Blend,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Garnacha,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Nebbiolo,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Malbec,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Tempranillo Blend,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Pinot Gris,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Moscato,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Shiraz,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Rhône-style Red Blend,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Barbera,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Verdejo,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Nero d'Avola,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Pinot Gris,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Pinot Blanc,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Malbec,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Port,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Albariño,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Red Blend,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
White Blend,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Syrah,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Nebbiolo,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Chenin Blanc,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Petite Sirah,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Rhône-style Red Blend,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Petite Sirah,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Grüner Veltliner,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Rhône-style Red Blend,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Rosé,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Cabernet Sauvignon,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Port,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Cabernet Franc,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Gewürztraminer,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Sauvignon Blanc,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Sparkling Blend,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Port,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Rhône-style Red Blend,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
"Corvina, Rondinella, Molinara",Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Syrah,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Aglianico,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Zinfandel,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Gewürztraminer,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Red Blend,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Bordeaux-style Red Blend,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Pinot Blanc,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Tempranillo Blend,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Pinot Grigio,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
